TRINITY_DN5655_c0_g1_i1	sp|P20035|HGXR_PLAFG	56.481	216	90	3	63	707	15	227	6.38e-81	246
TRINITY_DN5691_c0_g1_i1	sp|Q8C4J7|TBL3_MOUSE	42.857	245	126	5	712	17	400	643	1.84e-57	198
TRINITY_DN5627_c0_g1_i1	sp|Q9NX58|LYAR_HUMAN	39.706	136	77	3	20	418	1	134	4.61e-26	105
TRINITY_DN5653_c0_g1_i1	sp|P48598|IF4E_DROME	43.506	154	78	4	271	729	81	226	8.15e-30	117
TRINITY_DN5610_c0_g1_i1	sp|P34736|TKT_PICST	50.725	276	130	2	824	15	311	586	7.49e-86	273
TRINITY_DN5607_c0_g1_i1	sp|Q9VXK6|IF5_DROME	43.860	171	89	4	520	14	4	169	3.55e-38	141
TRINITY_DN5630_c0_g1_i1	sp|Q803X4|DCA13_DANRE	52.809	445	207	2	1393	68	1	445	1.78e-166	480
TRINITY_DN5664_c0_g1_i1	sp|Q8K339|KIN17_MOUSE	41.065	263	148	4	811	38	1	261	2.08e-61	202
TRINITY_DN5613_c0_g1_i1	sp|Q54ED4|GRWD1_DICDI	44.796	221	110	4	16	657	264	479	4.86e-61	202
TRINITY_DN5644_c0_g1_i1	sp|Q9FNK4|OAT_ARATH	30.928	291	183	8	70	936	171	445	3.72e-28	118
TRINITY_DN5673_c0_g1_i1	sp|Q54JP5|OAT_DICDI	58.000	150	61	1	1	450	264	411	1.63e-56	186
TRINITY_DN5692_c0_g1_i1	sp|Q9LHG8|ELC_ARATH	39.695	131	77	1	524	138	29	159	2.96e-25	105
TRINITY_DN5612_c0_g1_i1	sp|Q9U4N3|COPB_TOXGO	50.342	292	132	4	9	860	19	305	4.79e-81	268
TRINITY_DN5608_c0_g1_i1	sp|Q869S7|SUCB2_DICDI	51.250	400	192	1	66	1256	20	419	2.93e-145	422
TRINITY_DN5643_c0_g1_i1	sp|P0CM16|ARF_CRYNJ	81.356	177	30	1	720	190	1	174	2.90e-105	306
TRINITY_DN5695_c0_g1_i1	sp|O54781|SRPK2_MOUSE	55.556	180	79	1	676	140	500	679	2.66e-61	206
TRINITY_DN5690_c0_g1_i1	sp|Q5H879|COMT_HORSE	37.433	187	114	3	691	134	52	236	4.55e-36	131
TRINITY_DN5634_c0_g1_i1	sp|P52712|CBPX_ORYSJ	42.857	266	134	5	798	16	12	264	1.70e-60	202
TRINITY_DN5604_c0_g1_i1	sp|Q9V410|LZTR1_DROME	22.986	509	325	14	226	1620	255	740	5.33e-31	132
TRINITY_DN5617_c0_g1_i1	sp|B6KG46|CATIN_TOXGV	58.710	155	60	2	532	68	538	688	9.62e-57	195
TRINITY_DN5618_c0_g1_i1	sp|P15170|ERF3A_HUMAN	73.184	179	48	0	175	711	72	250	1.80e-78	247
TRINITY_DN5648_c0_g1_i1	sp|Q84MD8|FHYRK_ARATH	46.541	159	69	4	596	120	236	378	3.02e-40	144
TRINITY_DN5640_c0_g1_i1	sp|Q8VYP5|ZDH14_ARATH	30.389	283	154	5	1211	441	17	282	2.20e-28	117
